run_id,model,traj,pos,changed_factor,ngl,ub,t,ctk,mmp,fa,moe_cpu_frac,status,tok_s,stddev_ts,reps_tok_s,wall_s,settle_s,free_ram_gb_pre,temp_pre,sm_mhz_pre,mem_mhz_pre,vram_mib_pre,power_w_pre,temp_post,sm_mhz_post,mem_mhz_post,vram_mib_post,power_w_post,ts_utc,cmd
77aeb26c084e6727,7B,1,4,fa,9,512,4,q8_0,0,1,,ok,8.365155,0.235682,"[8.6349, 8.1991, 8.2614]",48.3,30.4,12.47,46,139,405,390,8.40,48,898,3802,390,25.62,2026-08-16 14:33:26 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 9 -ub 512 -t 4 -ctk q8_0 -ctv f16 -b 2048 -mmp 0 -fa 1 -n 128 -p 0 -r 3 -o json
0497068333d778c7,7B,1,5,ngl,99,512,4,q8_0,0,1,,ok,20.331741,0.047334,"[20.3851, 20.3152, 20.2949]",21.0,30.4,12.47,45,139,405,390,8.59,60,1860,4006,390,39.30,2026-08-16 14:34:17 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 99 -ub 512 -t 4 -ctk q8_0 -ctv f16 -b 2048 -mmp 0 -fa 1 -n 128 -p 0 -r 3 -o json
e6764068a3b38922,7B,1,6,mmp,99,512,4,q8_0,1,1,,ok,20.232263,0.026953,"[20.2122, 20.2629, 20.2217]",22.5,30.4,12.47,49,139,405,390,8.69,62,1847,4006,390,39.72,2026-08-16 14:35:10 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 99 -ub 512 -t 4 -ctk q8_0 -ctv f16 -b 2048 -mmp 1 -fa 1 -n 128 -p 0 -r 3 -o json
43f40e5467b87489,7B,2,0,base,99,128,3,q8_0,1,0,,ok,22.34328,0.015981,"[22.3474, 22.3568, 22.3257]",20.7,30.4,12.48,52,139,405,390,9.07,63,1847,4006,390,39.78,2026-08-16 14:36:02 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 99 -ub 128 -t 3 -ctk q8_0 -ctv f16 -b 2048 -mmp 1 -fa 0 -n 128 -p 0 -r 3 -o json
f24565c6ad87e497,7B,2,1,ngl,9,128,3,q8_0,1,0,,ok,8.453189,0.392194,"[8.7905, 8.5462, 8.0228]",48.0,35.4,12.48,52,139,405,390,9.16,53,885,3802,390,26.01,2026-08-16 14:37:26 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 9 -ub 128 -t 3 -ctk q8_0 -ctv f16 -b 2048 -mmp 1 -fa 0 -n 128 -p 0 -r 3 -o json
f6471607cb199f36,7B,2,2,ctk,9,128,3,f16,1,0,,ok,8.053672,0.188724,"[8.2548, 7.8804, 8.0258]",50.3,30.4,12.48,49,139,405,390,8.88,51,898,3802,390,25.91,2026-08-16 14:38:47 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 9 -ub 128 -t 3 -ctk f16 -ctv f16 -b 2048 -mmp 1 -fa 0 -n 128 -p 0 -r 3 -o json
aadc713b01075dc6,7B,2,3,mmp,9,128,3,f16,0,0,,ok,8.068505,0.226499,"[8.3287, 7.9154, 7.9615]",50.1,30.4,12.46,48,139,405,390,8.78,50,898,3802,393,25.81,2026-08-16 14:40:08 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 9 -ub 128 -t 3 -ctk f16 -ctv f16 -b 2048 -mmp 0 -fa 0 -n 128 -p 0 -r 3 -o json
b802814c1759a8c6,7B,2,4,t,9,128,1,f16,0,0,,ok,4.449262,0.020175,"[4.4591, 4.4261, 4.4627]",88.9,30.4,12.46,47,139,405,393,8.78,51,1506,4006,393,30.51,2026-08-16 14:42:07 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 9 -ub 128 -t 1 -ctk f16 -ctv f16 -b 2048 -mmp 0 -fa 0 -n 128 -p 0 -r 3 -o json
a130a47940221129,7B,2,5,ub,9,1024,1,f16,0,0,,ok,4.443732,0.017484,"[4.4371, 4.4306, 4.4636]",89.0,30.4,12.46,48,139,405,390,9.16,52,1506,4006,393,30.60,2026-08-16 14:44:07 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 9 -ub 1024 -t 1 -ctk f16 -ctv f16 -b 2048 -mmp 0 -fa 0 -n 128 -p 0 -r 3 -o json
f9d625f526bfbd79,7B,2,6,fa,9,1024,1,f16,0,1,,ok,4.495994,0.019829,"[4.4925, 4.4782, 4.5173]",88.0,30.4,12.47,49,139,405,390,8.69,52,1506,4006,390,30.61,2026-08-16 14:46:06 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 9 -ub 1024 -t 1 -ctk f16 -ctv f16 -b 2048 -mmp 0 -fa 1 -n 128 -p 0 -r 3 -o json
c5d305cad49a5893,7B,3,0,base,19,512,3,f16,1,1,,ok,12.722684,0.08228,"[12.7705, 12.7699, 12.6277]",33.2,30.4,12.46,49,139,405,392,8.59,59,1847,4006,392,38.57,2026-08-16 14:47:10 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 19 -ub 512 -t 3 -ctk f16 -ctv f16 -b 2048 -mmp 1 -fa 1 -n 128 -p 0 -r 3 -o json
12dfeebcd210ebe7,7B,3,1,mmp,19,512,3,f16,0,1,,ok,12.726731,0.085688,"[12.6282, 12.7839, 12.7681]",32.4,30.4,12.47,52,139,405,393,8.78,60,1847,4006,392,39.04,2026-08-16 14:48:13 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 19 -ub 512 -t 3 -ctk f16 -ctv f16 -b 2048 -mmp 0 -fa 1 -n 128 -p 0 -r 3 -o json
63ae98c3438b7f4e,7B,3,2,fa,19,512,3,f16,0,0,,ok,12.634907,0.063278,"[12.6426, 12.694, 12.5681]",32.6,30.4,12.47,52,139,405,392,8.97,61,1847,4006,393,38.95,2026-08-16 14:49:17 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 19 -ub 512 -t 3 -ctk f16 -ctv f16 -b 2048 -mmp 0 -fa 0 -n 128 -p 0 -r 3 -o json
