run_id,model,block,matrix,ngl,ub,t,ctk,mmp,fa,moe_cpu_frac,status,tok_s,stddev_ts,reps_tok_s,wall_s,settle_s,free_ram_gb_pre,temp_pre,sm_mhz_pre,mem_mhz_pre,vram_mib_pre,power_w_pre,temp_post,sm_mhz_post,mem_mhz_post,vram_mib_post,power_w_post,ts_utc,cmd
29c075fc5bc00b6f,7B,11,AB_ngl,0,512,1,f16,0,0,,ok,3.149382,0.011741,"[3.1358, 3.1558, 3.1565]",124.6,30.4,12.91,41,139,405,398,8.58,38,139,405,398,8.68,2026-08-16 21:34:03 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 0 -ub 512 -t 1 -ctk f16 -ctv f16 -b 2048 -mmp 0 -fa 0 -n 128 -p 0 -r 3 -o json
009d2f9e79dfaf03,7B,11,AB_ub,9,512,1,f16,0,0,,ok,4.490857,0.003524,"[4.4878, 4.4901, 4.4947]",88.2,30.4,12.93,38,139,405,398,8.49,45,1506,4006,398,29.93,2026-08-16 21:36:02 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 9 -ub 512 -t 1 -ctk f16 -ctv f16 -b 2048 -mmp 0 -fa 0 -n 128 -p 0 -r 3 -o json
be4da8814333a2fa,7B,11,AB_t,9,512,1,f16,0,0,,ok,4.493208,0.012634,"[4.4787, 4.4992, 4.5018]",88.0,30.4,12.94,43,139,405,398,8.68,48,1506,4006,398,30.12,2026-08-16 21:38:01 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 9 -ub 512 -t 1 -ctk f16 -ctv f16 -b 2048 -mmp 0 -fa 0 -n 128 -p 0 -r 3 -o json
8f3a0164b4e1ea89,7B,11,AB_ctk,9,512,1,f16,0,0,,ok,4.457871,0.025828,"[4.4339, 4.4545, 4.4852]",88.7,30.4,12.92,45,139,405,398,8.68,50,1506,4006,398,30.41,2026-08-16 21:40:00 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 9 -ub 512 -t 1 -ctk f16 -ctv f16 -b 2048 -mmp 0 -fa 0 -n 128 -p 0 -r 3 -o json
531fb2d017426f38,7B,12,A,99,2048,3,q8_0,0,0,,ok,22.431912,0.041464,"[22.4751, 22.4282, 22.3924]",19.2,30.4,12.92,47,139,405,398,8.49,61,1847,4006,398,39.43,2026-08-16 21:40:50 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 99 -ub 2048 -t 3 -ctk q8_0 -ctv f16 -b 2048 -mmp 0 -fa 0 -n 128 -p 0 -r 3 -o json
8f88d7b8837b3cb6,7B,12,B,0,128,3,q8_0,0,0,,ok,6.650426,0.042836,"[6.6414, 6.6128, 6.6971]",60.3,30.4,12.91,52,139,405,398,8.88,47,139,405,400,8.78,2026-08-16 21:42:21 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 0 -ub 128 -t 3 -ctk q8_0 -ctv f16 -b 2048 -mmp 0 -fa 0 -n 128 -p 0 -r 3 -o json
0525d832ba117497,7B,12,AB_ngl,0,2048,3,q8_0,0,0,,ok,6.648299,0.022045,"[6.6344, 6.6368, 6.6737]",60.3,30.4,12.93,45,139,405,400,8.11,43,139,405,400,8.59,2026-08-16 21:43:52 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 0 -ub 2048 -t 3 -ctk q8_0 -ctv f16 -b 2048 -mmp 0 -fa 0 -n 128 -p 0 -r 3 -o json
dfe5743064b64f73,7B,12,AB_ub,99,128,3,q8_0,0,0,,ok,22.402972,0.03612,"[22.4447, 22.3816, 22.3827]",19.3,30.3,12.94,42,139,405,400,8.49,57,1860,4006,400,38.66,2026-08-16 21:44:43 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 99 -ub 128 -t 3 -ctk q8_0 -ctv f16 -b 2048 -mmp 0 -fa 0 -n 128 -p 0 -r 3 -o json
cdb0d030aee4e4de,7B,12,AB_t,99,2048,3,q8_0,0,0,,ok,22.318845,0.06459,"[22.3768, 22.3305, 22.2492]",19.3,30.4,12.93,47,139,405,400,8.49,61,1847,4006,400,39.14,2026-08-16 21:45:33 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 99 -ub 2048 -t 3 -ctk q8_0 -ctv f16 -b 2048 -mmp 0 -fa 0 -n 128 -p 0 -r 3 -o json
4d4c18e835baa237,7B,12,AB_ctk,99,2048,3,q8_0,0,0,,ok,22.267715,0.026425,"[22.2923, 22.271, 22.2398]",19.4,30.4,12.93,50,139,405,400,8.88,64,1847,4006,400,40.00,2026-08-16 21:46:23 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 99 -ub 2048 -t 3 -ctk q8_0 -ctv f16 -b 2048 -mmp 0 -fa 0 -n 128 -p 0 -r 3 -o json
dbf85256c43399c1,7B,13,A,19,512,4,f16,0,0,,ok,13.00981,0.022371,"[12.9908, 13.0345, 13.0042]",31.8,35.4,12.93,52,139,405,400,9.07,61,1847,4006,400,39.04,2026-08-16 21:47:30 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 19 -ub 512 -t 4 -ctk f16 -ctv f16 -b 2048 -mmp 0 -fa 0 -n 128 -p 0 -r 3 -o json
c28db25c7a1b4513,7B,13,B,19,512,3,f16,0,0,,ok,12.666346,0.070842,"[12.7004, 12.5849, 12.7138]",32.6,30.4,12.92,52,139,405,400,8.88,61,1847,4006,400,38.95,2026-08-16 21:48:34 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 19 -ub 512 -t 3 -ctk f16 -ctv f16 -b 2048 -mmp 0 -fa 0 -n 128 -p 0 -r 3 -o json
2965d1cf478231b0,7B,13,AB_ngl,19,512,4,f16,0,0,,ok,13.010671,0.022304,"[12.9851, 13.026, 13.0209]",31.8,35.4,12.93,52,139,405,400,8.78,61,1847,4006,400,38.95,2026-08-16 21:49:41 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 19 -ub 512 -t 4 -ctk f16 -ctv f16 -b 2048 -mmp 0 -fa 0 -n 128 -p 0 -r 3 -o json
42dd36ad137d7245,7B,13,AB_ub,19,512,4,f16,0,0,,ok,12.947522,0.13401,"[13.0211, 13.0286, 12.7928]",31.9,35.4,12.92,52,139,405,400,8.88,61,1847,4006,400,38.85,2026-08-16 21:50:49 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 19 -ub 512 -t 4 -ctk f16 -ctv f16 -b 2048 -mmp 0 -fa 0 -n 128 -p 0 -r 3 -o json
15ef34f49732bd9b,7B,13,AB_t,19,512,3,f16,0,0,,ok,12.666941,0.090331,"[12.5637, 12.7312, 12.7059]",32.6,35.4,12.93,52,139,405,400,9.07,61,1847,4006,400,38.95,2026-08-16 21:51:57 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 19 -ub 512 -t 3 -ctk f16 -ctv f16 -b 2048 -mmp 0 -fa 0 -n 128 -p 0 -r 3 -o json
