21:56:32 precomputing expected outputs for 113 tasks
21:59:07 precomputing expected outputs for 113 tasks
22:01:11 precomputing expected outputs for 113 tasks
22:01:55 [pilot] np=2: 442.1 tok/s aggregate (1.2s)
22:02:13 [pilot] np=4: 439.5 tok/s aggregate (2.3s)
22:02:32 [pilot] np=8: 509.4 tok/s aggregate (4.0s)
22:02:52 [pilot] np=12: 664.2 tok/s aggregate (4.6s)
22:03:14 [pilot] np=16: 564.7 tok/s aggregate (7.3s)
22:03:17 [pilot] chosen k=16 (peak 664.2, rule: largest np with >=0.8x peak)
22:09:46   [B_7B_single] 105/113 Mbpp/800 PASS (1.0s, trunc 0/1)
22:09:48   [B_7B_single] 106/113 Mbpp/804 PASS (1.7s, trunc 0/1)
22:09:50   [B_7B_single] 107/113 Mbpp/807 PASS (1.7s, trunc 0/1)
22:09:51   [B_7B_single] 108/113 Mbpp/82 PASS (1.7s, trunc 0/1)
22:09:52   [B_7B_single] 109/113 Mbpp/89 PASS (0.9s, trunc 0/1)
22:09:57   [B_7B_single] 110/113 Mbpp/9 PASS (4.7s, trunc 0/1)
22:09:59   [B_7B_single] 111/113 Mbpp/90 PASS (2.1s, trunc 0/1)
22:10:00   [B_7B_single] 112/113 Mbpp/93 PASS (0.9s, trunc 0/1)
22:10:01   [B_7B_single] 113/113 Mbpp/94 PASS (1.4s, trunc 0/1)
22:10:05 [gpu B_7B_single post] 67, 911 MHz, 511 MiB
22:10:05 [B_7B_single] 73/113 = 64.6%  median 2.5s/task
22:10:05 [gpu C_7B_lanes pre] 67, 911 MHz, 511 MiB
22:10:17 [C_7B_lanes] server up: D:/evo-compress-data/gguf\Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 99 -c 16384 -np 16 --port 8093 --host 127.0.0.1
22:10:32   [C_7B_lanes] 1/113 Mbpp/101 PASS (15.3s, trunc 0/16)
22:11:07   [C_7B_lanes] 2/113 Mbpp/108 PASS (35.1s, trunc 0/16)
22:11:38   [C_7B_lanes] 3/113 Mbpp/11 fail (30.9s, trunc 0/16)
22:11:43   [C_7B_lanes] 4/113 Mbpp/113 fail (5.1s, trunc 0/16)
22:11:52   [C_7B_lanes] 5/113 Mbpp/116 fail (9.1s, trunc 0/16)
22:12:04   [C_7B_lanes] 6/113 Mbpp/118 PASS (12.2s, trunc 0/16)
22:12:34   [C_7B_lanes] 7/113 Mbpp/12 PASS (29.4s, trunc 0/16)
22:12:52   [C_7B_lanes] 8/113 Mbpp/126 fail (18.2s, trunc 0/16)
22:13:07   [C_7B_lanes] 9/113 Mbpp/131 PASS (15.4s, trunc 0/16)
22:13:20   [C_7B_lanes] 10/113 Mbpp/137 fail (12.9s, trunc 0/16)
22:13:41   [C_7B_lanes] 11/113 Mbpp/167 PASS (20.8s, trunc 0/16)
22:13:45   [C_7B_lanes] 12/113 Mbpp/168 PASS (4.3s, trunc 0/16)
22:13:53   [C_7B_lanes] 13/113 Mbpp/170 PASS (7.4s, trunc 0/16)
22:13:57   [C_7B_lanes] 14/113 Mbpp/227 PASS (4.7s, trunc 0/16)
22:14:04   [C_7B_lanes] 15/113 Mbpp/233 PASS (6.7s, trunc 0/16)
22:14:25   [C_7B_lanes] 16/113 Mbpp/235 fail (21.2s, trunc 0/16)
22:15:05   [C_7B_lanes] 17/113 Mbpp/239 fail (39.4s, trunc 0/16)
22:15:08   [C_7B_lanes] 18/113 Mbpp/242 PASS (3.9s, trunc 0/16)
22:15:42   [C_7B_lanes] 19/113 Mbpp/245 fail (33.7s, trunc 0/16)
22:15:56   [C_7B_lanes] 20/113 Mbpp/250 PASS (13.7s, trunc 0/16)
22:16:19   [C_7B_lanes] 21/113 Mbpp/259 PASS (23.6s, trunc 0/16)
22:17:47   [C_7B_lanes] 22/113 Mbpp/260 fail (87.5s, trunc 0/16)
22:17:59   [C_7B_lanes] 23/113 Mbpp/264 PASS (12.2s, trunc 0/16)
22:18:12   [C_7B_lanes] 24/113 Mbpp/268 PASS (12.9s, trunc 0/16)
22:18:25   [C_7B_lanes] 25/113 Mbpp/279 PASS (12.9s, trunc 0/16)
22:18:30   [C_7B_lanes] 26/113 Mbpp/281 PASS (4.6s, trunc 0/16)
22:18:37   [C_7B_lanes] 27/113 Mbpp/285 PASS (7.7s, trunc 0/16)
22:18:42   [C_7B_lanes] 28/113 Mbpp/292 PASS (4.5s, trunc 0/16)
22:18:49   [C_7B_lanes] 29/113 Mbpp/294 fail (7.0s, trunc 0/16)
22:19:16   [C_7B_lanes] 30/113 Mbpp/296 PASS (27.2s, trunc 0/16)
22:19:31   [C_7B_lanes] 31/113 Mbpp/308 PASS (15.5s, trunc 0/16)
22:19:37   [C_7B_lanes] 32/113 Mbpp/309 PASS (5.2s, trunc 0/16)
22:19:51   [C_7B_lanes] 33/113 Mbpp/310 fail (14.7s, trunc 0/16)
22:20:16   [C_7B_lanes] 34/113 Mbpp/392 PASS (25.0s, trunc 0/16)
22:20:27   [C_7B_lanes] 35/113 Mbpp/395 PASS (10.4s, trunc 0/16)
22:20:41   [C_7B_lanes] 36/113 Mbpp/397 PASS (14.1s, trunc 0/16)
22:20:54   [C_7B_lanes] 37/113 Mbpp/398 PASS (13.4s, trunc 0/16)
22:21:03   [C_7B_lanes] 38/113 Mbpp/412 PASS (8.4s, trunc 0/16)
22:21:15   [C_7B_lanes] 39/113 Mbpp/413 PASS (12.0s, trunc 0/16)
22:21:20   [C_7B_lanes] 40/113 Mbpp/414 PASS (5.6s, trunc 0/16)
22:21:48   [C_7B_lanes] 41/113 Mbpp/419 PASS (27.9s, trunc 0/16)
22:21:57   [C_7B_lanes] 42/113 Mbpp/422 PASS (9.1s, trunc 0/16)
22:22:03   [C_7B_lanes] 43/113 Mbpp/433 PASS (5.4s, trunc 0/16)
22:22:33   [C_7B_lanes] 44/113 Mbpp/447 PASS (30.2s, trunc 0/16)
22:22:50   [C_7B_lanes] 45/113 Mbpp/450 PASS (16.8s, trunc 0/16)
22:22:57   [C_7B_lanes] 46/113 Mbpp/454 PASS (7.6s, trunc 0/16)
22:23:05   [C_7B_lanes] 47/113 Mbpp/459 fail (7.9s, trunc 0/16)
22:23:35   [C_7B_lanes] 48/113 Mbpp/468 fail (29.9s, trunc 0/16)
22:23:45   [C_7B_lanes] 49/113 Mbpp/470 PASS (9.9s, trunc 0/16)
22:23:49   [C_7B_lanes] 50/113 Mbpp/477 PASS (3.8s, trunc 0/16)
22:23:59   [C_7B_lanes] 51/113 Mbpp/554 PASS (9.8s, trunc 0/16)
22:24:18   [C_7B_lanes] 52/113 Mbpp/558 PASS (19.7s, trunc 0/16)
22:24:45   [C_7B_lanes] 53/113 Mbpp/559 fail (27.0s, trunc 0/16)
22:25:13   [C_7B_lanes] 54/113 Mbpp/564 PASS (27.6s, trunc 0/16)
22:25:27   [C_7B_lanes] 55/113 Mbpp/565 PASS (13.9s, trunc 0/16)
22:25:34   [C_7B_lanes] 56/113 Mbpp/567 PASS (7.2s, trunc 0/16)
22:25:47   [C_7B_lanes] 57/113 Mbpp/57 PASS (13.3s, trunc 0/16)
22:25:55   [C_7B_lanes] 58/113 Mbpp/572 fail (7.8s, trunc 0/16)
22:26:21   [C_7B_lanes] 59/113 Mbpp/578 PASS (26.3s, trunc 0/16)
22:26:33   [C_7B_lanes] 60/113 Mbpp/581 fail (11.7s, trunc 0/16)
22:26:40   [C_7B_lanes] 61/113 Mbpp/596 PASS (6.6s, trunc 0/16)
22:27:19   [C_7B_lanes] 62/113 Mbpp/597 fail (39.6s, trunc 0/16)
22:27:36   [C_7B_lanes] 63/113 Mbpp/598 fail (16.6s, trunc 0/16)
22:27:50   [C_7B_lanes] 64/113 Mbpp/6 PASS (14.6s, trunc 0/16)
22:28:02   [C_7B_lanes] 65/113 Mbpp/600 PASS (11.5s, trunc 0/16)
22:28:11   [C_7B_lanes] 66/113 Mbpp/604 PASS (9.0s, trunc 0/16)
22:28:28   [C_7B_lanes] 67/113 Mbpp/608 PASS (17.2s, trunc 0/16)
22:28:34   [C_7B_lanes] 68/113 Mbpp/611 PASS (6.0s, trunc 0/16)
22:29:04   [C_7B_lanes] 69/113 Mbpp/612 PASS (29.3s, trunc 0/16)
22:29:17   [C_7B_lanes] 70/113 Mbpp/616 PASS (13.5s, trunc 0/16)
22:29:26   [C_7B_lanes] 71/113 Mbpp/619 PASS (8.9s, trunc 0/16)
22:30:02   [C_7B_lanes] 72/113 Mbpp/622 fail (36.1s, trunc 0/16)
22:30:09   [C_7B_lanes] 73/113 Mbpp/623 PASS (7.1s, trunc 0/16)
22:30:19   [C_7B_lanes] 74/113 Mbpp/626 PASS (10.1s, trunc 0/16)
22:30:26   [C_7B_lanes] 75/113 Mbpp/628 PASS (6.5s, trunc 0/16)
22:30:36   [C_7B_lanes] 76/113 Mbpp/629 PASS (10.0s, trunc 0/16)
22:30:46   [C_7B_lanes] 77/113 Mbpp/632 PASS (10.6s, trunc 0/16)
22:30:52   [C_7B_lanes] 78/113 Mbpp/637 PASS (6.0s, trunc 0/16)
22:31:14   [C_7B_lanes] 79/113 Mbpp/638 PASS (21.8s, trunc 0/16)
22:31:23   [C_7B_lanes] 80/113 Mbpp/643 fail (8.5s, trunc 0/16)
22:31:33   [C_7B_lanes] 81/113 Mbpp/68 PASS (10.1s, trunc 0/16)
22:31:44   [C_7B_lanes] 82/113 Mbpp/7 fail (11.3s, trunc 0/16)
22:31:52   [C_7B_lanes] 83/113 Mbpp/70 PASS (8.1s, trunc 0/16)
